City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
335,Faya,18.3851,42.4509,50.52,76,88,2.06,SA,2023-01-02 03:06:11
336,Mankono,8.0586,-6.1897,67.3,20,5,3.74,CI,2023-01-02 03:06:12
337,Bajil,15.0584,43.2851,75.33,85,36,5.32,YE,2023-01-02 03:06:13
338,Angoche,-16.2325,39.9086,73.74,88,57,5.06,MZ,2023-01-02 03:06:13
339,Zima,53.9202,102.0442,-13.5,93,67,3.71,RU,2023-01-02 03:06:14
340,Shingu,33.7333,135.9833,53.4,42,10,11.07,JP,2023-01-02 03:06:14
341,Muhlhausen,51.2167,10.45,58.41,71,100,11.9,DE,2023-01-02 03:06:15
342,Buffalo,42.8865,-78.8784,39.15,93,100,11.5,US,2023-01-02 03:03:10
343,Biak,-0.9131,122.8766,84.45,61,100,2.71,ID,2023-01-02 03:06:16
344,Benjamin Constant,-4.3831,-70.0311,77.13,99,90,2.06,BR,2023-01-02 03:06:16
345,Rundu,-17.9333,19.7667,65.28,88,84,5.88,NA,2023-01-02 03:06:17
346,Umm Lajj,25.0213,37.2685,69.1,67,0,10.85,SA,2023-01-02 03:06:17
347,Del Rio,29.3627,-100.8968,71.71,56,0,10.36,US,2023-01-02 03:03:53
348,Asfi,32.2994,-9.2372,62.24,58,47,4.76,MA,2023-01-02 03:06:18
349,Uusikaupunki,60.8004,21.4084,29.57,88,3,4.18,FI,2023-01-02 03:06:19
350,Pinega,64.7001,43.3936,25.45,93,100,8.37,RU,2023-01-02 03:06:19
351,Christchurch,-43.5333,172.6333,71.42,55,7,19.57,NZ,2023-01-02 03:02:03
352,Aksarka,66.5606,67.7975,-20.31,97,100,7.45,RU,2023-01-02 03:06:20
353,Victoria,22.2855,114.1577,70.2,68,96,11.99,HK,2023-01-02 03:06:20
354,Hereford,52.0568,-2.7148,46.35,94,100,5.99,GB,2023-01-02 03:06:21
355,Hedaru,-4.5,37.9,67.24,93,7,3.4,TZ,2023-01-02 03:06:21
356,Ambunti,-4.2365,142.8448,89.29,58,98,3.24,PG,2023-01-02 03:06:22
357,Conde,-7.2597,-34.9075,78.26,89,75,3.44,BR,2023-01-02 03:06:23
358,Aginskoye,51.1,114.53,3.65,69,0,10.25,RU,2023-01-02 03:06:23
359,Igis,46.9453,9.5722,51.62,82,75,9.28,CH,2023-01-02 03:06:24
360,Airai,-8.9266,125.4092,68.88,77,100,7.2,TL,2023-01-02 03:06:24
361,Iracoubo,5.4802,-53.2011,75.99,89,100,6.8,GF,2023-01-02 03:06:25
362,Narsaq,60.9167,-46.05,-5.58,65,0,7.56,GL,2023-01-02 03:06:25
363,Kupang,-10.1667,123.5833,84.78,79,40,13.8,ID,2023-01-02 03:06:26
364,Bonavista,48.6499,-53.1147,33.22,99,100,26.11,CA,2023-01-02 03:06:26
365,Bondoukou,8.0333,-2.8,68.43,17,7,4.54,CI,2023-01-02 03:06:27
366,Tupa,-21.9347,-50.5136,75.7,69,59,4.0,BR,2023-01-02 03:06:24
367,Jalalabad,34.4265,70.4515,43.34,26,58,4.14,AF,2023-01-02 03:06:27
368,Jibuti,11.5,42.5,68.14,86,66,12.77,DJ,2023-01-02 03:11:34
369,Hovd,48.0056,91.6419,-2.96,92,96,1.86,MN,2023-01-02 03:11:35
370,Mulchen,-37.7167,-72.2333,56.75,54,2,7.52,CL,2023-01-02 03:07:53
371,Luba,3.4568,8.5547,79.48,73,70,3.53,GQ,2023-01-02 03:11:36
372,Zaozerne,45.1582,33.2787,51.24,84,13,12.68,UA,2023-01-02 03:11:36
373,Sinop,41.7711,34.8709,41.47,58,0,7.14,TR,2023-01-02 03:11:37
374,Isangel,-19.55,169.2667,89.71,79,75,9.22,VU,2023-01-02 03:07:58
375,Alakurtti,66.9672,30.3491,29.34,90,89,13.98,RU,2023-01-02 03:11:38
376,Neftcala,39.3742,49.2472,43.0,57,60,7.23,AZ,2023-01-02 03:11:38
377,Flinders,-34.5833,150.8552,83.17,59,1,8.01,AU,2023-01-02 03:11:39
378,Moa,20.6569,-74.9403,76.01,82,33,11.39,CU,2023-01-02 03:11:40
379,Plettenberg Bay,-34.0527,23.3716,66.42,91,43,4.5,ZA,2023-01-02 03:11:40
380,Estevan,49.1334,-102.9842,16.14,97,31,5.75,CA,2023-01-02 03:11:41
381,Adygeysk,44.88,39.19,48.02,81,0,13.42,RU,2023-01-02 03:11:41
382,Nishihara,26.1842,127.7558,65.86,59,75,11.5,JP,2023-01-02 03:11:42
383,Broken Hill,-31.95,141.4333,98.67,23,69,13.49,AU,2023-01-02 03:11:42
384,Abnub,27.2696,31.1511,51.62,84,0,5.7,EG,2023-01-02 03:11:43
385,Santa Cruz,-17.8,-63.1667,76.46,88,20,4.61,BO,2023-01-02 03:11:43
386,Usinsk,65.9939,57.5281,2.71,97,100,7.56,RU,2023-01-02 03:11:44
387,Raudeberg,61.9875,5.1352,34.86,69,97,9.64,NO,2023-01-02 03:11:45
388,Port Hedland,-20.3167,118.5667,93.25,52,100,10.36,AU,2023-01-02 03:11:45
389,Isla Mujeres,21.2311,-86.731,78.85,75,100,11.86,MX,2023-01-02 03:07:41
390,Hare Bay,48.8499,-54.0148,32.63,98,100,14.58,CA,2023-01-02 03:11:46
391,Passagem Franca,-6.1797,-43.7836,72.55,70,75,1.41,BR,2023-01-02 03:11:14
392,Sindor,62.8629,51.8905,20.95,96,100,7.05,RU,2023-01-02 03:11:47
393,Comodoro Rivadavia,-45.8667,-67.5,62.46,36,0,24.16,AR,2023-01-02 03:11:47
394,Caravelas,-17.7125,-39.2481,73.96,90,98,5.08,BR,2023-01-02 03:11:48
395,Torit,4.4133,32.5678,76.03,52,17,3.83,SS,2023-01-02 03:11:48
396,Ostrovnoy,68.0531,39.5131,21.45,93,100,14.41,RU,2023-01-02 03:11:49
397,Staraya Kulatka,52.7167,47.6167,36.7,100,100,16.11,RU,2023-01-02 03:11:50
398,Ajdabiya,30.7554,20.2263,53.91,75,0,8.05,LY,2023-01-02 03:11:51
399,Quang Ngai,15.1167,108.8,68.04,90,100,8.88,VN,2023-01-02 03:11:51
400,Tezu,27.9167,96.1667,66.72,39,16,2.15,IN,2023-01-02 03:11:51
401,Churapcha,62.0025,132.4325,-33.09,95,100,1.28,RU,2023-01-02 03:11:52
402,Imeni Poliny Osipenko,52.4201,136.4853,-15.56,81,22,3.47,RU,2023-01-02 03:11:53
403,Mayo,38.8876,-76.5119,51.15,89,100,3.44,US,2023-01-02 03:11:55
404,Baykit,61.67,96.37,-2.97,99,100,2.35,RU,2023-01-02 03:11:56
405,Palmer,42.1584,-72.3287,41.32,80,100,5.75,US,2023-01-02 03:09:18
406,Banda Aceh,5.5577,95.3222,80.73,71,58,10.94,ID,2023-01-02 03:11:56
407,Graaff-Reinet,-32.2522,24.5308,67.37,71,6,1.9,ZA,2023-01-02 03:11:57
408,Acobamba,-11.3525,-75.6594,54.39,89,100,2.21,PE,2023-01-02 03:11:57
409,Goderich,43.7501,-81.7165,38.91,93,86,11.97,CA,2023-01-02 03:12:58
410,Altea,38.5989,-0.0514,55.69,53,97,2.86,ES,2023-01-02 03:12:58
411,Ambilobe,-13.2,49.05,73.26,90,54,3.06,MG,2023-01-02 03:12:59
412,Yerbogachen,61.2767,108.0108,-17.05,89,46,5.97,RU,2023-01-02 03:12:59
413,Kitale,1.0157,35.0062,51.71,80,7,0.54,KE,2023-01-02 03:13:00
414,Provideniya,64.3833,-173.3,-1.26,78,0,11.97,RU,2023-01-02 03:13:00
415,Altamont,42.2068,-121.7372,29.77,85,0,1.99,US,2023-01-02 03:13:01
416,Dubrovka,53.6907,33.5071,42.58,85,99,15.55,RU,2023-01-02 03:13:01
417,Talmenka,53.8183,83.5677,10.81,97,100,5.44,RU,2023-01-02 03:13:02
418,Filingue,14.3521,3.3168,60.69,19,17,11.86,NE,2023-01-02 03:13:02
419,Biograd Na Moru,43.9433,15.4519,48.9,86,100,3.83,HR,2023-01-02 03:13:03
420,Farafangana,-22.8167,47.8333,74.82,83,100,4.23,MG,2023-01-02 03:13:04
421,Kodinsk,58.6881,99.1844,-8.16,90,100,3.29,RU,2023-01-02 03:13:04
422,Najran,17.4924,44.1277,57.54,70,99,2.39,SA,2023-01-02 03:10:43
423,Qandala,11.472,49.8728,74.39,75,16,10.02,SO,2023-01-02 03:13:05
424,Mukhen,48.1,136.1,-3.87,80,98,11.7,RU,2023-01-02 03:13:06
425,Bethel,41.3712,-73.414,44.96,73,100,3.44,US,2023-01-02 03:13:07
426,Fort Frances,48.5999,-93.4003,23.16,83,100,6.91,CA,2023-01-02 03:13:07
427,Leh,34.1667,77.5833,2.73,60,0,2.06,IN,2023-01-02 03:13:08
428,Powell,40.1578,-83.0752,50.31,95,100,3.0,US,2023-01-02 03:13:08
429,Dauphin,51.1494,-100.0502,6.46,90,6,7.94,CA,2023-01-02 03:11:42
430,Champerico,14.3,-91.9167,78.76,77,84,6.85,GT,2023-01-02 03:13:09
431,Inuvik,68.3499,-133.7218,-12.28,95,96,7.45,CA,2023-01-02 03:13:09
432,Itarema,-2.9248,-39.9167,79.02,82,100,11.25,BR,2023-01-02 03:13:10
433,Limulunga,-15.0969,23.1376,64.38,96,100,3.89,ZM,2023-01-02 03:13:10
434,Vardo,70.3705,31.1107,33.78,93,100,20.71,NO,2023-01-02 03:13:11
435,Progreso,21.2833,-89.6667,78.12,78,63,11.95,MX,2023-01-02 03:12:13
436,Cusset,46.13,3.4596,57.54,56,100,16.58,FR,2023-01-02 03:13:12
437,Oudtshoorn,-33.5907,22.2014,65.89,85,1,1.43,ZA,2023-01-02 03:13:12
438,Rabaul,-4.1967,152.1721,83.55,71,76,11.16,PG,2023-01-02 03:13:13
439,Pobe,6.9801,2.6649,67.6,47,19,0.98,BJ,2023-01-02 03:13:13
440,Klaksvik,62.2266,-6.589,29.32,51,82,8.46,FO,2023-01-02 03:13:14
441,Polovinnoye,54.7914,65.9864,4.41,97,72,8.97,RU,2023-01-02 03:13:14
442,Sao Filipe,14.8961,-24.4956,74.57,75,100,5.82,CV,2023-01-02 03:13:15
443,Wasilla,61.5814,-149.4394,35.58,67,20,14.97,US,2023-01-02 03:13:15
444,Kondinskoye,59.6481,67.41,-2.47,95,100,13.29,RU,2023-01-02 03:13:16
445,Bundaberg,-24.85,152.35,84.22,60,67,5.01,AU,2023-01-02 03:13:16
446,Qasigiannguit,68.8193,-51.1922,-3.75,93,97,6.38,GL,2023-01-02 03:13:17
447,Vievis,54.7667,24.8,43.36,85,100,9.35,LT,2023-01-02 03:13:17
448,Aguimes,27.9054,-15.4461,63.66,77,0,5.75,ES,2023-01-02 03:13:18
449,Saltpond,5.2091,-1.0606,74.5,72,3,4.38,GH,2023-01-02 03:13:19
450,Chicama,-7.8447,-79.1469,64.94,72,80,5.64,PE,2023-01-02 03:13:19
451,Mackay,-21.15,149.2,88.68,62,52,15.46,AU,2023-01-02 03:13:20
452,Bredy,52.4153,60.3411,10.4,97,89,7.63,RU,2023-01-02 03:13:20
453,Broome,42.2506,-75.833,44.2,83,100,5.75,US,2023-01-02 03:13:21
454,Kinshasa,-4.3246,15.3215,72.01,93,100,1.63,CD,2023-01-02 03:12:36
455,Mizdah,31.4451,12.9801,48.11,87,0,3.6,LY,2023-01-02 03:14:22
456,Ukiah,39.1502,-123.2078,48.11,87,0,1.99,US,2023-01-02 03:14:22
457,Kharan,28.5833,65.4167,46.38,39,0,9.1,PK,2023-01-02 03:14:23
458,Juneau,58.3019,-134.4197,42.22,92,100,24.16,US,2023-01-02 03:10:09
459,Mezen,65.8522,44.24,16.3,96,100,4.32,RU,2023-01-02 03:14:24
460,Kyra,49.5776,111.9753,-1.07,74,4,3.09,RU,2023-01-02 03:14:24
461,Victoria Point,-27.5833,153.3,86.43,59,37,15.52,AU,2023-01-02 03:14:25
462,Jalu,29.0331,21.5482,55.51,73,70,5.46,LY,2023-01-02 03:14:25
463,Curuca,-0.7289,-47.8481,74.05,92,79,2.73,BR,2023-01-02 03:14:26
464,Marawi,7.9986,124.2928,78.13,68,85,5.79,PH,2023-01-02 03:14:26
465,Vostok,46.4856,135.8833,-8.01,92,100,12.39,RU,2023-01-02 03:14:27
466,Ivaipora,-24.2478,-51.6847,67.42,85,0,3.47,BR,2023-01-02 03:14:27
467,Aquiraz,-3.9014,-38.3911,81.18,84,100,9.28,BR,2023-01-02 03:14:28
468,Omboue,-1.5746,9.2618,76.91,84,100,3.04,GA,2023-01-02 03:14:28
469,Mana,5.6592,-53.7767,75.58,90,100,5.84,GF,2023-01-02 03:14:29
470,Nhulunbuy,-12.2333,136.7667,83.01,78,40,11.5,AU,2023-01-02 03:14:29
471,Port-Cartier,50.0334,-66.8654,14.38,85,89,8.34,CA,2023-01-02 03:14:30
472,Varkaus,62.3153,27.873,23.31,88,7,10.58,FI,2023-01-02 03:14:30
473,Mullovka,54.2,49.4,35.42,100,100,11.25,RU,2023-01-02 03:14:31
474,Carndonagh,55.25,-7.2667,42.26,77,11,5.21,IE,2023-01-02 03:10:11
