City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Tuktoyaktuk,CA,69.4541,-133.0374,4.82,93,100,20.69,overcast clouds
80,Sistranda,NO,63.7256,8.834,30.16,78,85,5.46,light snow
81,Katsuura,JP,35.1333,140.3,44.53,44,83,9.53,broken clouds
82,Bartica,GY,6.4,-58.6167,72.18,99,100,2.68,overcast clouds
83,Labuhan,ID,-6.8844,112.2051,78.04,84,100,9.26,overcast clouds
84,Veraval,IN,20.9,70.3667,66.78,39,83,11.01,broken clouds
85,Ancud,CL,-41.8697,-73.8203,56.41,85,99,7.34,overcast clouds
86,Hithadhoo,MV,-0.6,73.0833,80.46,68,86,9.28,overcast clouds
87,Kaitangata,NZ,-46.2817,169.8464,67.6,63,100,5.08,light rain
88,Saint George,US,37.1041,-113.5841,44.94,64,61,4.0,broken clouds
89,Lompoc,US,34.6391,-120.4579,52.79,87,40,5.75,light rain
90,Carolina,PR,18.3808,-65.9574,77.97,88,7,7.14,clear sky
91,Kodiak,US,57.79,-152.4072,37.13,84,85,16.2,overcast clouds
92,Isangel,VU,-19.55,169.2667,83.95,69,40,8.21,scattered clouds
93,El Jicaro,GT,14.9167,-89.9,83.73,66,10,3.36,clear sky
94,Ponta Do Sol,PT,32.6667,-17.1,62.71,68,49,8.32,scattered clouds
95,Pelym,RU,61.0108,61.9978,-1.82,95,100,7.47,overcast clouds
96,Thompson,CA,55.7435,-97.8558,3.83,97,83,4.65,broken clouds
97,Abu Kamal,SY,34.4506,40.9171,47.48,35,42,3.76,scattered clouds
98,Tavda,RU,58.0425,65.2726,23.25,96,100,8.03,snow
99,Saskylakh,RU,71.9167,114.0833,-12.75,99,100,5.73,overcast clouds
100,Klaksvik,FO,62.2266,-6.589,40.12,67,29,19.37,scattered clouds
101,Miri,MY,4.4148,114.0089,76.8,89,100,2.77,overcast clouds
102,Leningradskiy,RU,69.3833,178.4167,-25.64,97,100,11.68,overcast clouds
103,Punta Arenas,CL,-53.15,-70.9167,46.11,65,58,20.11,broken clouds
104,Siwana,IN,25.6333,72.4167,52.43,39,22,6.73,few clouds
105,San Quintin,MX,30.4833,-115.95,58.71,64,78,10.67,broken clouds
106,Makakilo City,US,21.3469,-158.0858,80.69,65,40,0.0,scattered clouds
107,Carmarthen,GB,51.8555,-4.3054,46.15,77,100,10.36,overcast clouds
108,Port Alfred,ZA,-33.5906,26.891,70.43,87,95,13.51,overcast clouds
109,Souillac,MU,-20.5167,57.5167,75.9,78,62,6.02,broken clouds
110,Marzuq,YE,14.4,46.4667,60.42,55,9,3.56,clear sky
111,Pingliang,CN,35.5392,106.6861,23.43,55,0,0.81,clear sky
112,Manga,BF,11.6636,-1.0731,67.17,19,7,8.7,clear sky
113,Sarangani,PH,5.4033,125.4636,76.86,88,100,7.31,overcast clouds
114,Kruisfontein,ZA,-34.0033,24.7314,69.94,73,100,3.2,overcast clouds
115,Sabya,SA,17.1495,42.6254,78.13,80,15,9.71,few clouds
116,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,18.19,45,20,11.18,few clouds
117,Kavaratti,IN,10.5669,72.642,79.99,74,16,7.81,few clouds
118,Kupang,ID,-10.1667,123.5833,82.98,89,75,16.11,broken clouds
