City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Hilo,US,2022-10-16 20:01:13,19.7297,-155.09,83.25,86,9,3.0
68,Nouakchott,MR,2022-10-16 20:01:14,18.0858,-15.9785,78.73,66,1,17.29
69,Dejen,ET,2022-10-16 20:01:14,10.1667,38.1333,55.62,65,41,3.96
70,Lompoc,US,2022-10-16 20:01:15,34.6391,-120.4579,75.69,75,0,8.05
71,Port Hedland,AU,2022-10-16 20:01:16,-20.3167,118.5667,69.85,83,0,9.22
72,Little Current,CA,2022-10-16 19:56:38,45.9793,-81.9248,47.41,67,98,9.15
73,Bluff,NZ,2022-10-16 20:01:16,-46.6,168.3333,51.19,68,71,17.54
74,Zhanaozen,KZ,2022-10-16 20:01:17,43.3,52.8,56.32,39,100,15.84
75,Biggar,GB,2022-10-16 20:01:18,55.6167,-3.5167,46.69,92,100,4.94
76,Coihaique,CL,2022-10-16 20:01:19,-45.5752,-72.0662,65.46,44,69,3.74
77,Ushuaia,AR,2022-10-16 20:00:42,-54.8,-68.3,50.23,58,92,4.76
78,Tiznit,MA,2022-10-16 20:01:20,29.5833,-9.5,77.99,39,0,18.21
79,Yulara,AU,2022-10-16 19:59:01,-25.2406,130.9889,67.87,62,5,7.83
80,Caibarien,CU,2022-10-16 20:00:56,22.5206,-79.4669,83.64,72,7,10.71
81,New Norfolk,AU,2022-10-16 20:01:21,-42.7826,147.0587,46.92,82,99,1.19
82,Tiksi,RU,2022-10-16 20:01:21,71.6872,128.8694,17.69,89,99,18.61
83,Albany,US,2022-10-16 20:01:16,42.6001,-73.9662,62.64,57,62,1.01
84,Abilene,US,2022-10-16 20:00:17,32.4487,-99.7331,72.77,82,100,9.22
85,Kudahuvadhoo,MV,2022-10-16 20:01:23,2.6708,72.8944,81.21,76,100,17.02
86,Kabare,CD,2022-10-16 20:01:23,-2.4683,28.8242,63.09,91,100,2.33
87,Mataura,NZ,2022-10-16 20:01:24,-46.1927,168.8643,48.58,77,75,3.98
88,Dong Hoi,VN,2022-10-16 19:58:33,17.4833,106.6,70.77,69,100,7.0
89,Jalu,LY,2022-10-16 20:01:25,29.0331,21.5482,72.75,44,2,8.41
90,Bengkulu,ID,2022-10-16 20:01:25,-3.8004,102.2655,75.4,90,100,3.15
91,Oranjestad,AW,2022-10-16 20:02:26,12.524,-70.027,86.92,72,24,7.0
92,Maasbree,NL,2022-10-16 20:02:26,51.3575,6.0486,60.49,94,99,7.27
93,Gerash,IR,2022-10-16 20:02:27,27.6652,54.1371,74.64,20,0,2.98
94,Anloga,GH,2022-10-16 20:02:28,5.7947,0.8973,79.7,79,75,6.69
95,Hanover,DE,2022-10-16 20:01:50,52.3705,9.7332,58.06,90,0,3.44
96,Vaini,TO,2022-10-16 20:02:29,-21.2,-175.2,76.44,82,78,11.88
97,Rio Gallegos,AR,2022-10-16 20:02:30,-51.6226,-69.2181,66.15,25,33,7.87
98,Mahajanga,MG,2022-10-16 20:02:30,-15.7167,46.3167,75.22,78,0,4.61
99,Cayenne,GF,2022-10-16 19:58:29,4.9333,-52.3333,89.64,58,0,10.36
100,Guanica,PR,2022-10-16 20:02:03,17.9716,-66.908,87.13,76,29,7.47
101,Upernavik,GL,2022-10-16 20:02:31,72.7868,-56.1549,33.57,99,100,9.37
