City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Esperance,AU,2022-10-18 02:24:16,-33.8667,121.9,61.61,63,8,11.05
68,Presidencia Roque Saenz Pena,AR,2022-10-18 02:24:17,-26.7852,-60.4388,57.4,96,12,2.62
69,Lagoa,PT,2022-10-18 02:24:17,39.05,-27.9833,62.47,57,100,27.6
70,Mataura,NZ,2022-10-18 02:24:18,-46.1927,168.8643,51.94,56,70,11.48
71,Iqaluit,CA,2022-10-18 02:24:19,63.7506,-68.5145,28.13,63,100,10.36
72,La Ronge,CA,2022-10-18 02:20:39,55.1001,-105.2842,46.65,46,0,13.8
73,Saint-Philippe,RE,2022-10-18 02:24:19,-21.3585,55.7679,67.59,79,40,8.75
74,Ratlam,IN,2022-10-18 02:23:59,23.3167,75.0667,67.77,68,0,6.11
75,Barrow,US,2022-10-18 02:21:05,71.2906,-156.7887,26.62,86,100,11.5
76,Touros,BR,2022-10-18 02:24:21,-5.1989,-35.4608,77.5,78,12,16.53
77,Karratha,AU,2022-10-18 02:24:21,-20.7377,116.8463,84.51,21,3,21.59
78,Lae,PG,2022-10-18 02:24:22,-6.7221,146.9847,93.87,65,100,8.72
79,Bambous Virieux,MU,2022-10-18 02:24:23,-20.3428,57.7575,70.05,73,20,10.36
80,Ostersund,SE,2022-10-18 02:24:24,63.1792,14.6357,41.45,100,75,5.99
81,Kendari,ID,2022-10-18 02:24:24,-3.945,122.4989,85.42,68,92,5.93
82,Rocha,UY,2022-10-18 02:24:25,-34.4833,-54.3333,55.78,81,89,9.28
83,Thompson,CA,2022-10-18 02:24:26,55.7435,-97.8558,30.36,55,100,5.75
84,Grand Gaube,MU,2022-10-18 02:24:27,-20.0064,57.6608,70.2,73,88,1.99
85,Vaini,TO,2022-10-18 02:24:28,-21.2,-175.2,82.56,78,20,10.36
86,Mar Del Plata,AR,2022-10-18 02:24:28,-38.0023,-57.5575,56.08,87,0,14.0
87,Bluff,NZ,2022-10-18 02:25:29,-46.6,168.3333,48.65,69,55,25.43
88,Inta,RU,2022-10-18 02:25:30,66.0317,60.1659,41.9,88,100,12.8
89,Nadym,RU,2022-10-18 02:25:30,65.5333,72.5167,37.4,88,100,11.27
90,Bethel,US,2022-10-18 02:25:30,41.3712,-73.414,55.71,88,100,0.0
91,Ewo,CG,2022-10-18 02:25:31,-0.8725,14.8206,71.24,93,87,0.96
92,High Rock,BS,2022-10-18 02:25:32,26.6208,-78.2833,80.62,65,53,11.43
